state,tract,BLL_geq_5,BLL_geq_10,tested,year,tested_suppressed,tested_ell,zero_sup_tested,BLL_geq_5_suppressed,BLL_geq_10_suppressed,ell_5,zero_sup_BLL_5,ell_10,zero_sup_BLL_10,median_annual_incomeE,house_price_medianE,poor_fam_propE,black_ppl_propE,bp_pre_1959E_prop,svi_socioeconomic_pctile,ped_per_100k,under_yo5_ppl,STATE_NAME,COUNTY,tests_p_kid,county,town,start_year,end_year
OH,39003011200,5,0,21,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-1.9813183357775834,-0.9732007238148724,0.11742913698719551,0.2976019484424644,-0.3017020149211705,0.9927021248936175,-0.6989562128815626,76,Ohio,Allen County,0.27631578947368424,NA,NA,NA,NA
OH,39003011400,5,0,17,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-0.08579866278166413,0.1016413840560861,-0.8756384308943215,-0.6360101211172201,-0.5864491876466135,-0.7873505951150682,-0.6989562128815626,160,Ohio,Allen County,0.10625,NA,NA,NA,NA
OH,39003011500,0,0,24,2011,FALSE,5,FALSE,FALSE,FALSE,4,FALSE,4,FALSE,-0.3326136018525721,0.023660094488664678,-0.7683045652371767,-0.6183636932715241,-0.18403596220781018,-0.7058185681014622,-0.6989562128815626,184,Ohio,Allen County,0.13043478260869565,NA,NA,NA,NA
OH,39003011600,5,0,33,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,0.24135025066637725,0.13023452356414061,-0.9611442313056233,-0.5734921284467572,-0.8244232490902287,0.19103372904820617,-0.6989562128815626,125,Ohio,Allen County,0.264,NA,NA,NA,NA
OH,39003011800,0,0,20,2011,FALSE,5,FALSE,FALSE,FALSE,4,FALSE,4,FALSE,0.5320010476417708,0.05875167479400431,-0.8721928286615422,-0.3655184262145178,-0.031739253312122656,-0.5143131093020616,-0.6989562128815626,113,Ohio,Allen County,0.17699115044247787,NA,NA,NA,NA
OH,39003011900,0,0,24,2011,FALSE,5,FALSE,FALSE,FALSE,4,FALSE,4,FALSE,0.5478200746246938,-0.47412047058337536,-0.7195582386176222,-0.5606490369107292,-0.28454085453517214,-0.2306574990407713,-0.6989562128815626,165,Ohio,Allen County,0.14545454545454545,NA,NA,NA,NA
OH,39003012000,5,0,12,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,1.4856215477508736,0.7111951308414302,-1.0332775530407632,-0.5003650899078876,-1.2410229931513335,-2.167706773391936,-0.6989562128815626,134,Ohio,Allen County,0.08955223880597014,NA,NA,NA,NA
OH,39003012100,0,0,22,2011,FALSE,5,FALSE,FALSE,FALSE,4,FALSE,4,FALSE,1.0917658940133976,0.4135665423257718,-0.9834278732308259,-0.26662862290819656,-0.98238409173550445,-1.2427922902003756,-0.6989562128815626,182,Ohio,Allen County,0.12087912087912088,NA,NA,NA,NA
OH,39003012200,5,0,83,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-0.5257772626621205,-0.8185378328394867,0.7884448889336285,0.3880391961682564,-0.8420579122126126,0.902827285813503,-0.6989562128815626,373,Ohio,Allen County,0.2225201072386059,NA,NA,NA,NA
OH,39003012300,5,0,75,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-0.8358683096647208,-0.9913963580472708,-0.359340796540524,-0.19445895294503537,1.3261760424053919,0.49365027582428866,-0.6989562128815626,296,Ohio,Allen County,0.2533783783783784,NA,NA,NA,NA
OH,39003012400,5,5,48,2011,FALSE,5,FALSE,TRUE,TRUE,4,FALSE,4,FALSE,-0.421619452467332,-1.0680779594552352,1.4208957841164198,-0.15927308798700238,1.0509184302597296,1.3666117929653185,-0.6989562128815626,233,Ohio,Allen County,0.20600858369098712,NA,NA,NA,NA
OH,39003012600,5,0,39,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-0.7015018756531454,-0.9887969817283567,0.6714602281667936,-0.06689666463419355,0.9197817476370221,1.4553489758545457,-0.6989562128815626,144,Ohio,Allen County,0.2708333333333333,NA,NA,NA,NA
OH,39003012700,5,0,60,2011,FALSE,5,FALSE,FALSE,FALSE,4,FALSE,4,FALSE,-0.8442542998725354,-1.3059208926358705,1.2217022238837076,0.29132194487173324,1.377450125733358,1.4955461612659053,-0.6989562128815626,166,Ohio,Allen County,0.3614457831325301,NA,NA,NA,NA
OH,39003012900,5,0,41,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-1.3882001192612392,-1.216242409633336,3.2930704159186543,0.766982024319614,1.5201898727718368,1.3131419519936047,-0.6989562128815626,179,Ohio,Allen County,0.22905027932960895,NA,NA,NA,NA
OH,39003013000,5,5,65,2011,FALSE,5,FALSE,TRUE,TRUE,4,FALSE,4,FALSE,-0.6938782481914958,-0.8653266065799394,0.15001377216669345,0.33588463094224325,-0.1389154067972398,0.5956601142738706,-0.6989562128815626,285,Ohio,Allen County,0.22807017543859648,NA,NA,NA,NA
OH,39003013100,5,0,31,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,0.09230833379112623,-0.5352058140778555,-0.9485351921816232,0.18379560033570624,0.7144829309296178,-0.6796524757110489,-0.6989562128815626,148,Ohio,Allen County,0.20945945945945946,NA,NA,NA,NA
OH,39003013200,5,0,31,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-0.20977790437674185,-0.6066886628479917,-0.7088442754230461,0.022014550631811458,1.2648626965348009,0.26080997542264117,-0.6989562128815626,147,Ohio,Allen County,0.2108843537414966,NA,NA,NA,NA
OH,39003013300,5,0,24,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-1.085637404377018,-0.9277116382338766,0.2194188084640552,0.8639324864795624,1.2738162523523455,1.1303585239910086,-0.6989562128815626,96,Ohio,Allen County,0.25,NA,NA,NA,NA
OH,39003013400,5,5,58,2011,FALSE,5,FALSE,TRUE,TRUE,4,FALSE,4,FALSE,-1.5208512370939435,-1.3215171505493548,1.4988477656784722,0.3112684400413945,0.9155540300036419,1.5114733479383307,-0.6989562128815626,246,Ohio,Allen County,0.23577235772357724,NA,NA,NA,NA
OH,39003013600,5,5,23,2011,FALSE,5,FALSE,TRUE,TRUE,4,FALSE,4,FALSE,-1.5244724601382271,-1.4124953217113465,2.296885642966643,0.9728484911714447,1.1136658866084435,1.4982006923779763,-0.6989562128815626,115,Ohio,Allen County,0.2,NA,NA,NA,NA
OH,39003013700,5,0,32,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-1.6206254614982836,-1.4020978164356903,2.37996761280386,1.0848128346758579,0.9063471452408717,1.474309912369338,-0.6989562128815626,100,Ohio,Allen County,0.32,NA,NA,NA,NA
OH,39003013800,8,5,93,2011,FALSE,5,FALSE,FALSE,TRUE,4,FALSE,4,FALSE,-0.8763688305547347,-1.0992704752822038,1.0341735823896083,1.5329631567467878,0.5826399598204386,1.4636917879210547,-0.6989562128815626,237,Ohio,Allen County,0.3924050632911392,NA,NA,NA,NA
OH,39003013900,5,0,45,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-0.2616185711159596,-0.5222089324832853,-0.44993061027601067,-0.6416751162309126,0.1185970141656585,0.12846263854939186,-0.6989562128815626,246,Ohio,Allen County,0.18292682926829268,NA,NA,NA,NA
OH,39003014000,5,0,33,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,0.23401250923453942,-0.007532421338303891,-0.7169070180020573,-0.6293672399422354,0.4313809780241173,-0.31332718224526473,-0.6989562128815626,200,Ohio,Allen County,0.165,NA,NA,NA,NA
OH,39003014100,5,0,15,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-1.1681631716493757,-1.3618074834925225,1.1973104963512557,0.15015307138827286,1.1891731882255743,1.5569795955738317,-0.6989562128815626,112,Ohio,Allen County,0.13392857142857142,NA,NA,NA,NA
OH,39005970200,0,0,38,2011,FALSE,5,FALSE,FALSE,FALSE,4,FALSE,4,FALSE,0.023409800606467357,0.0249597826481217,-0.16943622495254676,-0.6289015365150963,-0.120899561904783,0.7594826057616743,-0.818880745862013,409,Ohio,Ashland County,0.09290953545232274,NA,NA,NA,NA
OH,39005970300,5,5,47,2011,FALSE,5,FALSE,FALSE,TRUE,4,FALSE,4,FALSE,-0.06454780123231568,-0.7041652748072685,-0.7951036000004882,-0.5082736183923476,0.7459022317421159,0.3897443437232278,-0.818880745862013,292,Ohio,Ashland County,0.16095890410958905,NA,NA,NA,NA
OH,39005970400,5,5,60,2011,FALSE,5,FALSE,FALSE,TRUE,4,FALSE,4,FALSE,-0.35243503325286124,-0.7925440696503462,-0.062046371416002444,-0.6128260813631853,0.02132231956393265,0.9782918131423759,-0.818880745862013,281,Ohio,Ashland County,0.21352313167259787,NA,NA,NA,NA
OH,39005970500,5,5,56,2011,FALSE,5,FALSE,FALSE,TRUE,4,FALSE,4,FALSE,-0.7982266490728256,-0.6001902220507067,0.06224429187597668,-0.6173131342986856,1.1732885990124773,0.39619106213825683,-0.818880745862013,243,Ohio,Ashland County,0.23045267489711935,NA,NA,NA,NA
OH,39005970600,5,0,49,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-1.3179674512707917,0.009363524734637417,-0.4382732599746296,-0.562379667826141,0.1270900850370653,0.3514432519633477,-0.818880745862013,233,Ohio,Ashland County,0.21030042918454936,NA,NA,NA,NA
OH,39005970700,5,0,33,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,0.11984868799633565,0.14713046963708193,-0.767530804755122,-0.565511257618771,-0.7591503594746675,-0.8867059024525791,-0.818880745862013,215,Ohio,Ashland County,0.15348837209302327,NA,NA,NA,NA
OH,39005970800,5,5,43,2011,FALSE,5,FALSE,TRUE,TRUE,4,FALSE,4,FALSE,0.07467869528606137,-0.08681339906518233,-0.8573430387062453,-0.6353291626252928,-0.3976871036607382,-0.21586796855923338,-0.818880745862013,237,Ohio,Ashland County,0.18143459915611815,NA,NA,NA,NA
OH,39005970900,0,0,37,2011,FALSE,5,FALSE,FALSE,FALSE,4,FALSE,4,FALSE,-0.13744873883434064,0.2563042750314719,-0.4860209389081417,-0.6416751162309126,-0.2121271845559185,0.11822373283140439,-0.818880745862013,296,Ohio,Ashland County,0.125,NA,NA,NA,NA
OH,39005971000,5,5,35,2011,FALSE,5,FALSE,TRUE,TRUE,4,FALSE,4,FALSE,-0.3604398420875934,-0.14789874255966245,-0.5092994048079463,-0.6328145960199755,-0.181731819810114,-0.09072578756160514,-0.818880745862013,246,Ohio,Ashland County,0.14227642276422764,NA,NA,NA,NA
OH,39005971100,8,5,50,2011,FALSE,5,FALSE,FALSE,TRUE,4,FALSE,4,FALSE,-0.35834334453563976,-0.288265063781021,-0.6531446630525151,-0.614577936982454,0.17529186974467617,0.6233430815854669,-0.818880745862013,202,Ohio,Ashland County,0.24752475247524752,NA,NA,NA,NA
OH,39007000101,5,5,45,2011,FALSE,5,FALSE,TRUE,TRUE,4,FALSE,4,FALSE,-1.4896896598444505,-0.7197615327207528,0.5759161413065843,0.19899013088054876,0.4011356064428376,1.0408629036411898,-1.1890181933325386,165,Ohio,Ashtabula County,0.2727272727272727,NA,NA,NA,NA
