all_properties,msoa11cd,bp_pre_1900_prop,bp_1900_1918_prop,bp_1919_1929_prop,bp_1930_1939_prop,bp_1945_1954_prop,bp_1955_1964_prop,bp_1965_1972_prop,bp_1973_1982_prop,bp_1983_1992_prop,bp_1993_1999_prop,bp_2000_2008_prop,bp_2009_prop,bp_2010_prop,bp_2011_prop,bp_2012_prop,bp_2013_prop,bp_2014_prop,bp_2015_prop,bp_2016_prop,bp_2017_prop,bp_2018_prop,bp_2019_prop,bp_2020_prop,bp_2021_prop,bp_pre_1929_prop,bp_pre_1939_prop,bp_pre_1954_prop,bp_pre_1982_prop,bp_pre_1992_prop,bp_pre_1999_prop,bp_post_2000_prop,bp_unkw_prop,house_terraced_prop,build_year_mean,build_year_median
5220,E02003422,0.2413793103448276,0.04597701149425287,0.0421455938697318,0.07088122605363985,0.06321839080459771,0.1475095785440613,0.12452107279693486,0.06130268199233716,0.038314176245210725,0.011494252873563218,0.032567049808429116,0.0019157088122605363,0.0038314176245210726,0.0038314176245210726,0.0019157088122605363,0.005747126436781609,0.0038314176245210726,0.019157088122605363,0.007662835249042145,0.005747126436781609,0.005747126436781609,0.0019157088122605363,0.0038314176245210726,0,0.32950191570881227,0.4003831417624521,0.46360153256704983,0.7969348659003831,0.8352490421455938,0.846743295019157,0.09770114942528733,0.05363984674329502,0.16091954022988506,1938.819472616633,1955.525974025974
2480,E02003423,0.024193548387096774,0.036290322580645164,0.028225806451612902,0.024193548387096774,0.1532258064516129,0.23790322580645162,0.2056451612903226,0.16532258064516128,0.008064516129032258,0.008064516129032258,0.03225806451612903,0.004032258064516129,0,0.004032258064516129,0.004032258064516129,0.008064516129032258,0.036290322580645164,0.012096774193548387,0.004032258064516129,0,0,0,0,0,0.08870967741935484,0.11290322580645162,0.2661290322580645,0.875,0.8830645161290323,0.8911290322580645,0.10483870967741934,0.008064516129032258,0.35080645161290325,1963.0384615384617,1963.7711864406779
4240,E02003424,0.0660377358490566,0.030660377358490566,0.02358490566037736,0.02122641509433962,0.01179245283018868,0.2028301886792453,0.14386792452830188,0.1179245283018868,0.10141509433962265,0.01179245283018868,0.06839622641509434,0.009433962264150943,0.0047169811320754715,0.009433962264150943,0.007075471698113208,0.02358490566037736,0.01650943396226415,0.009433962264150943,0.0047169811320754715,0.007075471698113208,0.04009433962264151,0.018867924528301886,0.0330188679245283,0.0047169811320754715,0.12028301886792453,0.14150943396226415,0.15330188679245282,0.6179245283018868,0.7193396226415094,0.7311320754716981,0.2570754716981132,0.014150943396226415,0.1179245283018868,1970.9665871121717,1971.7131147540983
6040,E02003425,0.14403973509933773,0.059602649006622516,0.07781456953642384,0.039735099337748346,0.009933774834437087,0.06456953642384106,0.11258278145695365,0.052980132450331126,0.07947019867549669,0.026490066225165563,0.11754966887417219,0.008278145695364239,0.014900662251655629,0.0033112582781456954,0.0033112582781456954,0.024834437086092714,0.028145695364238412,0.033112582781456956,0.026490066225165563,0.028145695364238412,0.009933774834437087,0.02152317880794702,0.0033112582781456954,0,0.2814569536423841,0.3211920529801324,0.3311258278145695,0.5612582781456954,0.640728476821192,0.6672185430463576,0.3228476821192053,0.013245033112582781,0.16390728476821192,1961.2466555183948,1971.1764705882354
3890,E02003426,0.11311053984575835,0.11053984575835475,0.061696658097686374,0.09254498714652956,0.05398457583547558,0.21079691516709512,0.08740359897172237,0.05398457583547558,0.09254498714652956,0.033419023136246784,0.04884318766066838,0.002570694087403599,0.002570694087403599,0,0,0,0.002570694087403599,0.005141388174807198,0.007712082262210797,0.002570694087403599,0.002570694087403599,0.002570694087403599,0.002570694087403599,0,0.2853470437017995,0.377892030848329,0.43187660668380456,0.7840616966580976,0.8766066838046271,0.9100257069408739,0.07969151670951155,0.010282776349614395,0.14652956298200515,1947.8727272727272,1957.689024390244
3140,E02003427,0.06687898089171974,0.050955414012738856,0.054140127388535034,0.022292993630573247,0.03503184713375796,0.43630573248407645,0.11146496815286625,0.04777070063694268,0.01910828025477707,0.041401273885350316,0.03821656050955414,0,0,0,0.009554140127388535,0.009554140127388535,0.012738853503184714,0,0.0031847133757961785,0.009554140127388535,0.006369426751592357,0.006369426751592357,0.01592356687898089,0,0.17197452229299365,0.1942675159235669,0.22929936305732485,0.8248407643312101,0.8439490445859872,0.8853503184713375,0.11146496815286623,0.006369426751592357,0.24522292993630573,1957.7332268370608,1960.551094890511
3640,E02003428,0.019230769230769232,0.005494505494505495,0.01098901098901099,0.03571428571428571,0.013736263736263736,0.20604395604395603,0.24175824175824176,0.32142857142857145,0.057692307692307696,0.03296703296703297,0.03296703296703297,0,0,0.0027472527472527475,0.0027472527472527475,0,0,0,0.005494505494505495,0,0,0.005494505494505495,0,0,0.03571428571428572,0.07142857142857142,0.08516483516483517,0.8543956043956045,0.9120879120879122,0.9450549450549451,0.04945054945054945,0.005494505494505495,0.16758241758241757,1969.2665745856355,1970.965909090909
3180,E02003429,0.1320754716981132,0.02830188679245283,0.03773584905660377,0.03773584905660377,0.04716981132075472,0.09748427672955975,0.1509433962264151,0.25157232704402516,0.05660377358490566,0.025157232704402517,0.0440251572327044,0.012578616352201259,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.006289308176100629,0.0031446540880503146,0,0.0031446540880503146,0.006289308176100629,0.0031446540880503146,0.0031446540880503146,0,0.1981132075471698,0.23584905660377356,0.2830188679245283,0.7830188679245282,0.8396226415094339,0.8647798742138364,0.09433962264150943,0.040880503144654086,0.16981132075471697,1956.1639344262296,1969.59375
3160,E02003430,0.3322784810126582,0.028481012658227847,0.022151898734177215,0.04430379746835443,0.0949367088607595,0.08544303797468354,0.0759493670886076,0.09177215189873418,0.06645569620253164,0.0379746835443038,0.022151898734177215,0,0.006329113924050633,0,0,0.0031645569620253164,0.0031645569620253164,0.00949367088607595,0.015822784810126583,0.006329113924050633,0.00949367088607595,0,0.0031645569620253164,0,0.3829113924050633,0.4272151898734177,0.5221518987341772,0.7753164556962026,0.8417721518987342,0.879746835443038,0.07911392405063292,0.04746835443037975,0.31645569620253167,1933.5066006600662,1949.95
2980,E02003431,0.13087248322147652,0.013422818791946308,0.026845637583892617,0.14429530201342283,0.06375838926174497,0.12751677852348994,0.050335570469798654,0.174496644295302,0.14429530201342283,0.02348993288590604,0.05704697986577181,0.003355704697986577,0,0,0,0,0.003355704697986577,0,0,0.003355704697986577,0,0.010067114093959731,0,0,0.17114093959731544,0.31543624161073824,0.37919463087248323,0.7315436241610738,0.8758389261744965,0.8993288590604026,0.07718120805369127,0.016778523489932886,0.20134228187919462,1953.6838487972507,1962.6973684210527
3480,E02003432,0.3735632183908046,0.04597701149425287,0.020114942528735632,0.06321839080459771,0.028735632183908046,0.10632183908045977,0.10632183908045977,0.05172413793103448,0.04310344827586207,0.034482758620689655,0.0603448275862069,0.017241379310344827,0.008620689655172414,0.005747126436781609,0,0,0,0.0028735632183908046,0.0028735632183908046,0,0.020114942528735632,0.0028735632183908046,0,0,0.4396551724137931,0.5028735632183908,0.5316091954022989,0.7959770114942529,0.839080459770115,0.8735632183908046,0.12068965517241378,0.008620689655172414,0.3275862068965517,1930.541907514451,1938.1818181818182
2880,E02003433,0.013888888888888888,0.003472222222222222,0.017361111111111112,0.020833333333333332,0.024305555555555556,0.3402777777777778,0.34375,0.1284722222222222,0,0.034722222222222224,0.020833333333333332,0.003472222222222222,0,0.006944444444444444,0,0,0,0,0.006944444444444444,0.003472222222222222,0.003472222222222222,0.003472222222222222,0.003472222222222222,0,0.034722222222222224,0.05555555555555555,0.0798611111111111,0.892361111111111,0.892361111111111,0.9270833333333333,0.052083333333333336,0.024305555555555556,0.40625,1966.154255319149,1966.4141414141413
4000,E02003434,0.0425,0.0175,0.0625,0.105,0.145,0.2775,0.05,0.0825,0.05,0.0175,0.09,0.01,0,0,0.0075,0,0.0075,0.0025,0,0.005,0.015,0,0.0075,0,0.1225,0.22749999999999998,0.37249999999999994,0.7825,0.8325,0.85,0.14500000000000002,0.0025,0.16,1959.4673366834172,1959.054054054054
3180,E02003435,0.2169811320754717,0.059748427672955975,0.012578616352201259,0.031446540880503145,0.05660377358490566,0.09748427672955975,0.14465408805031446,0.16352201257861634,0.059748427672955975,0.07232704402515723,0.03459119496855346,0,0.0031446540880503146,0,0.015723270440251572,0.0031446540880503146,0,0.0031446540880503146,0,0.0031446540880503146,0,0.0031446540880503146,0.0031446540880503146,0,0.2893081761006289,0.32075471698113206,0.3773584905660377,0.7830188679245282,0.8427672955974842,0.9150943396226414,0.06918238993710692,0.015723270440251572,0.3113207547169811,1946.6102236421725,1965.8369565217392
3710,E02003436,0.0889487870619946,0.04851752021563342,0.0862533692722372,0.08086253369272237,0.11320754716981132,0.18867924528301888,0.08086253369272237,0.07008086253369272,0.09164420485175202,0.03504043126684636,0.029649595687331536,0.0026954177897574125,0.0026954177897574125,0.005390835579514825,0.0026954177897574125,0.0026954177897574125,0.005390835579514825,0.005390835579514825,0.0026954177897574125,0.005390835579514825,0.0026954177897574125,0.005390835579514825,0.005390835579514825,0,0.22371967654986524,0.3045822102425876,0.4177897574123989,0.7574123989218329,0.8490566037735849,0.8840970350404314,0.07816711590296495,0.03773584905660377,0.10242587601078167,1952.2689075630253,1958.0214285714285
