msoa11cd,house_price_median_yrto_dec_95,house_price_median_yrto_sep_21,house_price_mean_median_1995to2000,house_price_mean_median_2017to2021
E02004863,53500,293500,63394.47368421053,285868.4210526316
E02004864,80000,563000,105073.68421052632,535416.4736842106
E02004865,66500,375500,81403.94736842105,331565.7894736842
E02004866,64000,361000,74315.78947368421,342772.36842105264
E02004867,115000,670000,142918.42105263157,654355.2631578947
E02004868,62500,410000,77143.42105263157,381818.4210526316
E02004869,87000,650000,126355.65789473684,602578.947368421
E02004870,68812,355900,78520.57894736843,287980.13157894736
E02004871,67250,403250,77247.36842105263,359439.4736842105
E02004872,83500,500000,98030,459565.3947368421
E02004873,73750,425000,92761.84210526316,396459.7368421053
E02004874,76450,386750,87111.84210526316,360605.2631578947
E02004875,64500,380000,78651.05263157895,349042.1052631579
E02004876,94500,525000,127076.05263157895,506328.8157894737
E02004877,113500,637500,122839.44736842105,543078.947368421
E02003732,45000,249995,52194.73684210526,231265.26315789475
E02003733,57500,315000,67189.47368421052,272444.7368421053
E02003734,57000,323825,66149.34210526316,301582.8947368421
E02003735,67250,355000,72534.86842105263,314985.5263157895
E02003736,69475,322250,72265.3947368421,298044.4736842105
E02003737,48000,250000,54600.78947368421,246143.2894736842
E02003738,66500,352500,76495,325033.4736842105
E02003739,61625,341300,77846.05263157895,323765.2631578947
E02003740,79950,418000,100227.63157894737,386941.9736842105
E02006825,75000,425000,90238.42105263157,387657.8947368421
E02004878,81750,425000,96905,396071.05263157893
E02004879,117000,555000,128106.57894736843,549514.0789473684
E02004880,99475,485000,123282.1052631579,452366.1052631579
E02004881,75000,412500,82272.23684210527,404394.7368421053
E02004882,77750,431000,85091.57894736843,396749.6052631579
E02004883,87500,453750,100615.65789473684,414828.94736842107
E02004884,65000,345000,76945.3947368421,328600.0263157895
E02004885,74750,450000,108293.02631578948,415263.15789473685
E02004886,83500,507500,132814.47368421053,558770.9210526316
E02004887,79995,565000,107360.78947368421,519552.63157894736
E02004888,75500,425000,87708.94736842105,401471.05263157893
E02004889,63000,384500,78146.71052631579,372671.0263157895
E02004890,70000,372500,78485.76315789473,350736.44736842107
E02004891,73000,499995,96127.78947368421,454910.2631578947
E02004892,59995,368000.5,76588.42105263157,358026.34210526315
E02004893,74475,398000,88981.44736842105,349516.2368421053
E02004894,63000,380000,82569.47368421052,370654.2105263158
E02004895,80000,470000,96433.42105263157,423841.9736842105
E02006287,68000,382500,81976.84210526316,343151.3157894737
E02006288,63000,370000,84943.42105263157,312821.7105263158
E02006289,52750,310000,60816.44736842105,269767.7631578947
E02006290,52000,332500,58174.07894736842,280868.2894736842
E02006291,52500,350000,73230,320932.8947368421
E02006292,78500,470000,88638.15789473684,386328.6842105263
E02006293,60000,335000,63152.23684210526,285276.3157894737
E02006294,57750,375000,68831.44736842105,317943.4210526316
E02006295,62437.5,315000,67315.21052631579,278368.4210526316
E02006296,69000,331500,78454.94736842105,309893.6842105263
E02006297,79995,385000,93596.97368421052,341301.3157894737
E02006298,48625,258000,54377.10526315789,248788.15789473685
E02006299,72000,335000,75633.94736842105,306460.5263157895
E02006300,41000,220000,43081.57894736842,205023.42105263157
E02006301,42000,262250,50407.89473684211,234671.05263157896
E02006302,59225,300000,65098.28947368421,254092.05263157896
E02006303,33750,183750,38570.39473684211,161526.31578947368
E02006304,52000,225000,53820.18421052631,200655
E02006305,29000,115000,28925.78947368421,109223.42105263157
E02006306,40000,185000,41812.10526315789,166944.73684210525
E02006307,55000,260000,56182.23684210526,217538.15789473685
E02006308,34500,167497.5,33848.68421052631,142324.86842105264
E02006309,38500,193500,40529.89473684211,164249.86842105264
E02006310,45000,215000,45961.44736842105,195972.36842105264
E02006311,41000,235000,45259.86842105263,212618.42105263157
E02006312,49000,278750,55802.63157894737,242250
E02006313,42500,200000,44921.97368421053,180881.44736842104
E02006314,48500,260000,53016.84210526316,221039.47368421053
E02006315,69000,415000,76261.84210526316,359736.84210526315
E02006316,49250,270000,51996.05263157895,225315.7894736842
E02004527,69725,375000,80457.63157894737,357602.63157894736
E02004528,103750,550000,133197.23684210525,515920.9210526316
E02004529,126500,747500,163174.07894736843,653853.4210526316
E02004530,70500,428747.5,98529.76315789473,415379.86842105264
E02004531,92000,525000,108997.36842105263,501744.7368421053
E02004532,69000,567500,94394.44736842105,488947.36842105264
E02004533,66500,399999.5,77023.02631578948,352261.8157894737
E02004534,59995,352500,70933.15789473684,326026.3157894737
E02004535,70250,396000,85557.76315789473,358657.8947368421
E02004536,109000,682500,136545.52631578947,633552.6315789474
E02004537,59725,412500,70670.78947368421,385565.7894736842
E02004538,105000,720750,124323.42105263157,581247.3684210526
E02004539,72500,446000,87692.5,418250
E02004540,105000,564000,138015.3947368421,545276.3157894737
E02004541,97000,600000,111815.65789473684,569618.4210526316
E02004542,122500,625000,157894.73684210525,677934.2105263158
E02004543,147000,472500,112064.44736842105,475007.8947368421
E02003742,40000,235000,49749.86842105263,195371.84210526315
E02003743,31500,162000,36345.31578947369,149026.31578947368
E02003744,41250,210000,45755,169513.81578947368
E02003745,41345,235000,49264.86842105263,204894.2105263158
E02003746,37000,210000,44789.21052631579,192539.47368421053
E02003747,46375,203000,51827.63157894737,201208.2894736842
E02003748,42750,195000,41872.34210526316,176671.05263157896
E02003749,47000,210000,50875.92105263158,193315.7894736842
E02003750,45500,249995,50207.89473684211,214006.44736842104
E02003751,40000,261250,53610.39473684211,233723.68421052632
E02003752,42500,192000,43249.86842105263,182960.26315789475
E02005538,46000,265000,54285.39473684211,230193.2894736842
E02005539,49000,240000,53548.68421052631,227024.07894736843
E02005540,49997.5,220000,49152.23684210526,192430.26315789475
E02005541,38450,175000,40678.94736842105,149250.65789473685
E02005542,28000,120000,30424.736842105263,107013.15789473684
E02005543,28000,94250,30038.157894736843,93123.68421052632
E02005544,27000,135000,29589.684210526317,119039.34210526316
E02005545,51000,224000,54208.94736842105,203013.15789473685
E02005546,37000,165000,37030,139459.2105263158
E02005547,37750,216250,41693.15789473684,171684.2105263158
E02005548,40500,185000,42301.18421052631,162368.42105263157
E02005549,44500,210000,48279.86842105263,195400.52631578947
E02005550,48375,220000,49856.05263157895,204840.52631578947
E02004544,68500,400000,86445.78947368421,380940
E02004545,49000,287500,57793.28947368421,269763.15789473685
E02004546,57000,280000,56024.86842105263,254183.94736842104
E02004547,52000,283750,55044.07894736842,280078.4210526316
E02004548,79950,351500,86167.36842105263,317605.2631578947
E02004549,50000,285000,57325.52631578947,268911.05263157893
E02004550,50500,275000,54723.42105263158,253617.76315789475
E02004551,52000,277000,56140.52631578947,266750
E02004552,51975,295750,58238.15789473684,275605.2631578947
E02004553,46000,270000,53013.02631578947,266256.1052631579
E02004554,47625,293000,53800.39473684211,270473.55263157893
E02004896,89475,591750,121290.78947368421,496671.05263157893
E02004897,82750,540000,106315.78947368421,508551.3157894737
E02004898,74500,512500,90600,442578.94736842107
E02004899,114995,585000,128541.71052631579,520644.7368421053
E02004900,163500,962500,195203.94736842104,919207.8947368421
E02004901,63850,425000,77322.23684210527,397788.4210526316
E02004902,66600,455000,80503.94736842105,408605.2631578947
E02004903,78000,498500,100298.94736842105,462065.7894736842
E02004904,66000,422500,82039.21052631579,379140.3947368421
