msoa11cd,median_annual_incomeE,median_annual_incomeE_lower_bound,median_annual_incomeE_upper_bound
E02002490,28900,24100,34700
E02002491,28000,23300,33500
E02002492,28600,23900,34300
E02002493,36700,30600,44000
E02002494,25900,21600,31100
E02006909,40500,33800,48600
E02002496,23500,19400,28600
E02002497,24700,20500,29700
E02002498,24700,20300,30100
E02002499,24900,20700,30100
E02002500,34100,28400,40900
E02002501,29700,24800,35600
E02002502,24700,20600,29700
E02002503,31200,26000,37400
E02002504,39800,33200,47600
E02002505,26200,21800,31500
E02002506,27600,23000,33100
E02002507,41700,34800,50100
E02002508,38500,32200,46100
E02002509,33800,28200,40500
E02002510,37800,31500,45400
E02002512,45500,37900,54600
E02002513,30800,25800,36900
E02002514,33900,28300,40700
E02006811,45000,37500,53900
E02005706,30400,25400,36400
E02005707,36600,30500,43800
E02005708,35000,29200,42000
E02005702,40400,33700,48500
E02005703,34900,29100,41900
E02005704,37800,31600,45300
E02005705,41300,34500,49500
E02005720,36100,30000,43500
E02005734,29900,25000,35900
E02005735,29000,24200,34800
E02005721,40400,33700,48600
E02005737,36600,30500,43900
E02005736,33000,27500,39600
E02005738,39100,32600,47000
E02005722,48200,40200,57900
E02005723,34700,28900,41700
E02005739,36600,30400,43900
E02005724,53800,44600,64800
E02005727,39900,33300,47800
E02005740,32100,26800,38500
E02005741,39000,32600,46700
E02005709,25800,21500,31000
E02005710,31600,26300,38000
E02005711,29200,24400,35000
E02005712,37400,31200,44900
E02005713,44300,36900,53300
E02005714,56200,46400,68100
E02005716,36400,30300,43700
E02005715,31700,26400,38000
E02005717,36400,30400,43600
E02005718,37600,31400,45000
E02005719,37200,30900,44700
E02005725,43800,36500,52500
E02005726,53400,44300,64400
E02005730,40100,33500,48000
E02005729,45200,37700,54200
E02005728,34600,28900,41500
E02005731,37900,31700,45400
E02005732,45800,38100,55000
E02005733,40900,34100,49100
E02002515,29000,24100,34900
E02002516,30800,25700,36900
E02002517,29000,24200,34900
E02002518,39300,32700,47300
E02002519,28100,23300,33900
E02002520,36900,30500,44500
E02002521,34400,28700,41300
E02002523,25300,21000,30400
E02002524,34900,29100,41900
E02002525,29100,24300,35000
E02002526,34900,29100,41800
E02002527,27100,22500,32500
E02002529,33100,27700,39700
E02002530,31100,26000,37300
E02002532,31200,26100,37400
E02002533,44400,37000,53300
E02002534,45000,37500,54000
E02006812,32200,26900,38600
E02006910,30900,25800,37000
E02002535,41300,34400,49500
E02002536,33300,27800,39900
E02002537,30700,25600,36900
E02002538,33700,28100,40400
E02002539,49500,41200,59500
E02002540,43000,35800,51700
E02002541,36400,30400,43600
E02002542,29800,24800,35800
E02002543,31700,26500,38100
E02002544,28700,23800,34600
E02002545,39600,33000,47400
E02002546,30900,25800,37100
E02002547,39600,33100,47500
E02002548,28100,23400,33800
E02002549,40300,33700,48300
E02002550,40500,33800,48600
E02002551,27400,22800,33000
E02002552,33600,28000,40300
E02002553,31200,26100,37400
E02002554,28600,23800,34200
E02002555,43900,36700,52700
E02002556,50800,42200,61300
E02002557,58400,47900,71200
E02002558,45900,38300,55100
E02001682,38300,31900,45900
E02001683,37900,31600,45500
E02001684,30600,25500,36600
E02001685,32300,27000,38700
E02001686,35800,29900,42900
E02001688,32500,27100,39000
E02001689,29300,24400,35200
E02001690,37200,31100,44600
E02001691,35500,29600,42600
E02001692,30000,25000,36000
E02001693,28400,23600,34000
E02001694,34700,29000,41700
E02001695,38700,32200,46400
E02001696,30300,25300,36400
E02001697,40700,33900,48800
E02001698,42500,35500,51000
E02001699,30600,25500,36600
E02001700,36700,30700,44000
E02001701,40900,34100,49000
E02001702,28300,23600,33900
E02001703,41400,34500,49600
E02001704,30600,25500,36600
E02001705,35600,29700,42600
E02001706,32700,27300,39200
E02001707,32800,27400,39300
E02006841,34700,28800,41800
E02006842,34100,28500,40900
E02001708,40100,33500,48100
E02001709,51100,42500,61500
E02001710,31300,26100,37500
E02001711,31000,25800,37200
E02001712,52500,43600,63200
E02001713,49000,40800,59000
E02001714,51600,42800,62100
E02001715,35500,29600,42500
E02001718,28700,23900,34400
E02001719,43100,35900,51800
E02001720,46500,38200,56500
E02001721,33300,27800,39900
E02001722,31400,26100,37700
E02001723,35600,29700,42700
E02001724,41400,34300,49800
E02001725,35100,29100,42300
