msoa11cd,median_annual_incomeE,median_annual_incomeE_lower_bound,median_annual_incomeE_upper_bound
E02002227,29200,24400,35000
E02002228,31600,26500,37600
E02002229,36800,30800,43900
E02002230,28400,23600,34000
E02002231,37700,31600,45000
E02002232,30600,25700,36600
E02002233,30700,25600,36800
E02002234,27600,23100,33000
E02002235,31900,26700,38100
E02002236,36400,30600,43400
E02002237,37300,31200,44600
E02002238,31900,26600,38200
E02002239,36000,30200,43000
E02002240,42600,35700,50900
E02002241,33700,28300,40300
E02002242,36200,30300,43200
E02002243,36600,30600,43700
E02002244,39900,33400,47700
E02002245,31600,26400,37800
E02002246,42400,35600,50600
E02002247,45500,38100,54500
E02002248,33600,28200,40000
E02002249,31000,26000,37000
E02002250,41900,35100,50000
E02002251,32700,27400,39200
E02002252,42600,35600,51000
E02002253,33400,27900,39900
E02002254,43900,36800,52500
E02002255,26500,22100,31900
E02002256,36700,30700,43900
E02002257,32300,26900,38800
E02002258,41400,34700,49400
E02002259,39500,33000,47100
E02002260,36700,30700,43700
E02002261,37500,31500,44700
E02002262,38200,32100,45600
E02002263,36700,30700,43900
E02002264,45400,38000,54200
E02002265,36400,30500,43400
E02002266,42800,35800,51100
E02002267,38900,32700,46400
E02002268,35400,29700,42200
E02002269,42400,35600,50600
E02002270,47900,40100,57200
E02002271,44600,37400,53300
E02002272,38700,32500,46200
E02002273,40200,33600,48000
E02002274,43000,36000,51300
E02002275,37200,31100,44400
E02002276,37400,31400,44600
E02002277,37800,31600,45100
E02002278,39100,32800,46500
E02002279,34300,28700,40900
E02002280,29300,24500,35000
E02002281,34400,28800,41000
E02002282,34800,29100,41600
E02002283,32200,26900,38600
E02002284,38300,32100,45600
E02002285,40600,34100,48400
E02002286,34600,29000,41300
E02002287,33000,27700,39400
E02002288,33600,28200,40100
E02002289,34500,28800,41300
E02002290,42000,35300,50100
E02002291,41400,34700,49300
E02002292,42800,35900,51100
E02002293,30700,25600,36900
E02002294,33900,28300,40600
E02002295,32300,27000,38500
E02002296,39800,33300,47500
E02002297,45000,37700,53800
E02002298,36500,30600,43500
E02002299,29300,24500,35100
E02002300,42500,35700,50700
E02002301,33900,28300,40500
E02002302,45300,38000,54000
E02002303,38900,32600,46500
E02002304,37300,31100,44600
E02002305,31600,26500,37700
E02002306,42600,35700,50800
E02002307,35300,29600,42100
E02002308,41200,34600,49100
E02002309,33000,27600,39500
E02002310,34500,29000,41200
E02002311,37500,31400,44700
E02002312,30900,25600,37300
E02002313,31600,26300,37900
E02002314,40100,33600,47800
E02002315,39200,32800,46800
E02002316,42200,35400,50300
E02002317,34100,28600,40800
E02002318,33300,27900,39800
E02002319,40500,34000,48300
E02002320,39000,32700,46600
E02002321,42600,35300,51300
E02002322,43200,36300,51600
E02002323,43100,36100,51400
E02002324,39100,32700,46800
E02002325,42400,35600,50600
E02002326,48200,40400,57500
E02002327,46600,39100,55600
E02002328,48500,40700,57900
E02002329,48600,40700,58100
E02002330,54100,45200,64800
E02002331,37200,30900,44800
E02002332,40100,33600,47800
E02002333,41500,34800,49600
E02002334,49500,41400,59100
E02002335,53600,44800,64100
E02002336,51900,43400,62000
E02002337,53500,44800,63900
E02002338,45900,38500,54800
E02002339,37900,31700,45200
E02002340,40000,33600,47700
E02002341,55600,46300,66900
E02002342,45500,38100,54300
E02002343,49900,41800,59500
E02002344,47600,39800,56900
E02002345,54300,45300,64900
E02002346,40500,33900,48300
E02002347,36300,30400,43300
E02002348,41800,35000,50000
E02002349,52600,43900,63100
E02002350,52800,44100,63200
E02002351,50400,42300,60200
E02002352,47300,39600,56500
E02002353,55700,46500,66600
E02002354,40800,34100,48600
E02002356,51200,42800,61100
E02002357,45500,38100,54300
E02002358,37500,31400,44700
E02002359,48000,40200,57300
E02002360,46000,38400,55000
E02002361,46900,39200,56100
E02002362,35800,30000,42700
E02002363,51100,42600,61200
E02002364,28300,23700,33800
E02002366,43800,36700,52200
E02002367,34300,28800,41000
E02002368,48000,40200,57300
E02002369,33100,27700,39400
E02002370,31300,26200,37400
E02002371,34300,28700,41000
E02002373,43500,35600,53200
E02002374,40200,33600,48100
E02002375,33000,27400,39800
E02002376,31000,25900,37200
E02002377,31300,26000,37700
E02002379,31700,26500,37900
E02002380,39800,33300,47500
E02002381,40500,33800,48500
E02002382,29700,24500,36100
E02002383,32800,26600,40500
E02002384,27900,22900,34000
E02002385,38100,31800,45600
E02002386,41900,35100,50100
E02002387,34100,28500,40700
E02002388,36800,30800,43800
E02002389,28600,23900,34200
E02002390,36900,31000,44100
E02002391,43000,36100,51400
E02002392,27400,21300,35200
E02002393,28600,23700,34500
E02002394,27400,22800,32900
E02002395,42900,36000,51200
E02002396,40200,33700,48100
E02002397,38100,32000,45500
E02002398,41500,34800,49400
E02002399,32800,27500,39200
E02002400,30900,25800,36900
E02002401,29400,24600,35200
E02002402,48400,40500,57700
E02002403,38800,32500,46300
E02002404,35400,29500,42400
E02002405,41200,34600,49200
E02002406,47300,39600,56500
E02002407,29900,25000,35700
E02002408,38900,32600,46500
E02002409,37100,31100,44200
E02002410,37400,31300,44700
E02002411,35200,29400,42200
E02002412,40900,34200,48800
E02002414,28000,23400,33500
E02002415,30200,24900,36700
E02002416,37200,31200,44300
E02002417,39700,33200,47300
E02002418,41800,35000,49900
E02002419,30800,25800,36800
E02002420,39800,33200,47600
E02002421,28600,23900,34200
E02002422,44800,37600,53500
E02002423,32400,27100,38700
E02002424,40600,34100,48400
E02002425,39700,33300,47400
E02002426,44900,37700,53500
E02002427,38200,32100,45500
E02002428,38700,32400,46300
E02002429,43100,36200,51400
E02002430,29600,24700,35400
E02002431,40500,33900,48400
E02002432,39000,32700,46600
E02002433,34700,29000,41600
E02002434,44400,37100,53200
E02002435,42300,35500,50500
E02002436,37500,31400,44700
E02002437,47100,39300,56400
E02006852,49100,40700,59200
E02006861,35000,28800,42500
E02006875,50600,39200,65400
E02006876,38100,31700,45800
E02002438,30600,25600,36500
E02002439,33300,27800,39700
E02002440,35600,29800,42400
E02002441,34000,28500,40600
E02002442,42200,35300,50500
E02002443,44900,37600,53600
E02002444,43300,36200,51600
E02002445,37700,31600,44900
E02002446,40900,34300,48800
E02002447,32700,27300,39100
E02002448,33000,27600,39400
E02002449,42600,35600,50900
E02002450,39600,33200,47300
E02002451,42700,35800,50900
E02002452,34200,28600,40800
E02002453,33900,28400,40400
E02002454,33500,28100,40100
E02002455,33100,27700,39600
E02002456,40600,33800,48600
E02002457,33100,27700,39500
E02002458,40900,34300,48700
E02002459,36900,30900,44000
E02002460,43200,36200,51500
E02002461,38800,32600,46300
E02002462,38100,31900,45400
E02002463,31400,26300,37400
E02002464,33700,28200,40200
E02002465,37200,31100,44300
E02002466,39300,33000,46800
E02002467,34100,28600,40700
E02002468,41300,34700,49200
E02002469,42700,35800,51000
E02002470,56600,47200,67800
E02002471,45400,38100,54200
E02002472,41600,34800,49600
E02002473,46300,38800,55300
E02002474,37200,31200,44400
E02002475,51600,43200,61700
E02002476,29800,24900,35600
E02002477,35500,29700,42400
E02002478,36000,30200,43000
E02002479,33800,28300,40200
E02002480,32800,27500,39200
E02002481,32900,27500,39200
E02002482,33000,27600,39400
E02002796,56400,46700,68200
E02002797,50900,42200,61400
E02002798,56000,46500,67300
E02002799,33700,28000,40400
E02002800,50000,41100,60800
E02002801,36400,30400,43600
E02002802,28500,23500,34700
E02002803,33800,27900,41000
E02002804,33100,27600,39700
E02002805,41900,35100,50000
E02002806,36300,30400,43300
E02002807,35600,29800,42600
E02002808,31600,26200,37900
E02002809,37700,31600,45000
E02002810,52700,43900,63300
E02002811,28100,23300,33900
E02002812,44300,36900,53100
E02002813,26000,21500,31500
E02002814,47800,39800,57400
E02002815,29600,24500,35700
E02002816,56800,47000,68700
E02002817,46300,38800,55400
E02002818,27600,22900,33400
E02002819,37400,31300,44700
E02002820,33500,28000,40200
E02002821,28800,23800,34800
E02002822,37900,31700,45200
E02002823,33200,27800,39800
E02002824,31600,26300,37900
E02002825,43700,36400,52300
E02002826,48400,40300,58000
E02002827,40800,34100,48800
E02002828,35300,29400,42300
E02002829,26500,21800,32200
E02002830,35900,30000,42900
E02002831,29100,24000,35300
E02002832,29100,24100,35200
E02002833,28900,23600,35400
E02002834,38500,32200,46000
E02002835,43300,36100,51900
E02002836,27100,22100,33200
E02002837,26100,21300,32100
E02002838,25300,20800,30900
E02002839,34900,29200,41800
E02002842,32500,27000,39100
E02002843,29800,24500,36200
E02002844,24700,20000,30400
E02002845,28700,23800,34600
E02002846,46300,38700,55400
E02002847,31400,25900,38100
E02002848,30700,25300,37200
E02002849,34700,28900,41600
E02002851,42900,35900,51400
E02002852,24300,19700,30000
E02002853,38600,32200,46400
E02002854,28900,23900,34800
E02002855,43700,36500,52400
E02002856,48500,40000,58700
E02002857,36800,30800,43900
E02002858,62700,51200,76800
E02002860,39600,33200,47200
E02002861,26000,21200,31900
E02002862,25300,20700,31000
E02006815,28000,23200,33700
E02006817,40100,33500,48000
E02006819,27500,22700,33400
E02006850,26800,21500,33300
E02006851,34500,27700,43100
E02002868,37600,31500,44900
E02002869,24400,20100,29700
E02002871,32400,26900,38900
E02002872,28200,23300,34200
E02002873,31900,26600,38300
E02002874,39300,32800,47100
E02002875,31600,26400,37900
E02002876,34700,29000,41500
E02002877,49000,40400,59300
E02002878,25000,20200,30900
E02002879,41600,34700,49900
E02002880,29100,23900,35400
E02002881,26300,21700,32000
E02002882,45300,37500,54600
E02002883,36300,30300,43300
E02002884,34600,28900,41500
E02002885,29600,24400,35900
E02002886,33600,28100,40300
E02002887,25700,21300,31000
E02002888,25600,21100,31100
E02002889,25900,21000,32000
E02002890,25100,20500,30700
E02002891,34800,29100,41700
E02002892,31900,26400,38500
E02002893,24200,19500,30000
E02002894,56400,46600,68300
E02002895,55700,45400,68200
E02002896,31600,26300,38000
E02002897,50000,41300,60500
E02002898,31300,25700,38000
E02002899,30100,23200,39000
E02002901,45400,37900,54300
E02002902,28000,23100,34000
E02002903,30500,25400,36600
E02002904,29000,24000,35000
E02006834,25100,20600,30500
E02006904,44800,36800,54600
E02006905,32900,27500,39300
E02002863,48600,39900,59100
E02002864,46000,38500,55000
E02002865,48100,40000,57700
E02002866,51300,42600,61800
E02002867,47500,39200,57500
E02004029,31900,26600,38300
E02004030,47900,39700,57700
E02004031,28300,23400,34200
E02004032,41400,34700,49500
E02004033,35700,29900,42700
E02004034,40700,34100,48700
E02004035,50300,41900,60400
E02004036,34100,28500,40700
E02004037,50000,41700,60000
E02004038,41800,34900,50100
E02004039,46400,38800,55500
E02004040,38600,32300,46100
E02004041,41500,34800,49600
E02004043,42700,35700,51000
E02004044,58400,47800,71200
E02006827,31300,26000,37500
E02004045,42100,35300,50200
E02004046,35600,29800,42500
E02004047,31700,26400,38100
E02004048,31700,26400,38100
E02004049,35900,30100,42800
E02004050,28200,23300,34100
E02004051,30200,25000,36400
E02004052,36200,30200,43300
E02004053,34500,28800,41300
E02004054,36900,30800,44200
E02004055,33100,27600,39800
E02004056,29600,24500,35600
E02004057,32100,26700,38600
E02004058,28900,24000,34700
E02004059,36900,30900,44100
E02004060,34000,28400,40700
E02004061,34100,28500,40700
E02004062,37700,31600,45100
E02004063,41800,34800,50000
E02004064,37600,31400,44900
E02004065,55800,46200,67300
E02004066,41100,34400,49000
E02004067,27800,23100,33500
E02004068,49100,40700,59400
E02004069,50700,41900,61300
E02004070,40700,34000,48800
E02004071,44600,37100,53600
E02004072,49300,41100,59100
E02004073,41400,34500,49700
E02004074,43000,35900,51400
E02004075,48000,40000,57700
E02004076,39600,33100,47300
E02004077,49700,41200,60000
E02004078,26300,21600,31900
E02004080,32700,27300,39200
E02004081,45600,38000,54800
E02004082,47500,39700,56900
E02004083,38700,32400,46300
E02004084,29100,24200,35100
E02004085,42000,35200,50100
E02004086,47600,39700,57100
E02004087,37700,31600,45000
E02004088,49100,41000,58800
E02004089,33200,27700,39900
E02004090,41100,34300,49200
E02004091,40700,34100,48600
E02004092,37700,31600,45100
E02006828,43700,36600,52200
E02004093,43900,36800,52400
E02004094,34000,28400,40700
E02004095,42100,35100,50500
E02004096,56300,46700,68000
E02004097,51600,43000,61900
E02004098,42300,35300,50700
E02004100,49200,40900,59100
E02004102,35700,29800,42800
E02004103,33400,27900,40000
E02004104,49200,41100,58800
E02006872,44500,37200,53100
E02004105,37800,31600,45100
E02004106,44400,37100,53000
E02004108,37500,31400,44800
E02004109,50300,41900,60500
E02004110,49000,40900,58800
E02004111,37200,31200,44400
E02004112,50900,42200,61300
E02004113,30000,25000,36000
E02004114,45300,37800,54200
E02004115,37000,31000,44300
E02004116,30300,25300,36300
E02004117,35600,29800,42500
E02006804,34300,28700,41100
E02004118,51800,43100,62300
E02004119,58300,48200,70500
E02004120,46100,38500,55300
E02004121,55700,46100,67200
E02004122,53300,43800,64800
E02004123,49100,40700,59300
E02004124,37900,31700,45300
E02004125,35700,29700,42800
E02004126,35300,29500,42200
E02004128,42200,35300,50400
E02006919,42400,35500,50700
E02006920,42000,35200,50100
E02005334,46900,39100,56100
E02005335,48600,40400,58500
E02005336,44600,37300,53400
E02005337,36800,30800,43900
E02005338,41200,34500,49100
E02005339,48200,40200,57800
E02005340,40100,33500,47900
E02005341,44900,37600,53600
E02005342,44100,37000,52600
E02005343,44000,36800,52600
E02005344,45800,38300,54900
E02006820,45800,38300,54700
E02005345,48000,40100,57500
E02005346,35000,29300,41900
E02005347,33200,27600,39900
E02005348,42900,35800,51300
E02005349,43200,36200,51500
E02005350,40100,33600,47800
E02005351,35200,27500,44900
E02005352,56700,46800,68800
E02005353,42900,35900,51300
E02005354,61100,50200,74300
E02005355,52400,43600,63000
E02005356,52200,43200,63100
E02005357,42700,35800,51000
E02005358,47200,39400,56400
E02005359,44700,37400,53400
E02005360,60600,49800,73800
E02005361,41800,35000,50000
E02005362,38500,32200,45900
E02005363,48900,40800,58500
E02005364,41700,34900,49800
E02005365,35600,29700,42500
E02005366,39700,33300,47400
E02005368,51900,42900,62800
E02005369,52900,43900,63800
E02005370,49800,41600,59700
E02005371,49800,41500,59700
E02005372,52900,43800,63800
E02005373,52700,43700,63500
E02005374,34900,29100,41800
E02005375,51100,42500,61400
E02005376,46300,38700,55400
E02006816,51300,42700,61600
E02005377,45700,38200,54700
E02005378,48000,40100,57600
E02005379,45300,37900,54200
E02005380,46500,38700,55900
E02005381,45700,38100,54700
E02005382,37100,31100,44400
E02005383,38300,32000,45800
E02005384,46400,38600,55700
E02005385,49000,40900,58600
E02005386,37000,31000,44200
E02005387,41600,34800,49700
E02005388,37200,31200,44400
E02005389,40600,33900,48600
E02005390,51800,43100,62200
E02005391,49100,40800,59200
E02005392,47800,39900,57200
E02005393,46800,39200,55900
E02005394,38700,32300,46200
E02005395,39100,32800,46600
E02005396,50600,42100,60700
E02005397,46400,38800,55600
E02005398,48000,40000,57500
E02005399,51600,42900,62100
E02005400,39900,33400,47600
E02005401,57100,47300,68900
E02005402,49400,41000,59500
E02005403,40300,33700,48000
E02005404,42500,35600,50700
E02005405,36000,30000,43200
E02005406,34200,28500,40900
E02005407,45000,37700,53700
E02005408,43600,36500,52100
E02005409,38300,32000,45800
E02005412,43300,36100,51900
E02005414,34300,28600,41100
E02005415,34800,29100,41600
E02005416,45500,38100,54400
E02006818,46100,38600,55100
E02006911,52900,43500,64200
E02005417,31600,26300,38000
E02005418,26200,21400,32100
E02005419,33800,28000,40800
E02005420,27300,22500,33000
E02005422,37200,31200,44500
E02005423,32600,27200,39000
E02006864,41300,34600,49300
E02006865,36500,30400,43700
E02005424,41100,34400,49000
E02005425,38300,32100,45800
E02005426,34200,28600,41100
E02005427,37500,31400,44900
E02005428,25100,20600,30600
E02005429,26500,21600,32500
E02005430,41500,34600,49600
E02005431,33600,27900,40400
E02005432,41100,34400,49100
E02005433,25100,20400,30800
E02005434,35200,29400,42000
E02005435,25700,21200,31100
E02005436,33400,27800,40000
E02005437,25400,20900,30900
E02005438,24800,20400,30000
E02005439,37300,31200,44500
E02005440,30600,25400,37000
E02005441,38000,31800,45400
E02005442,26300,21500,32100
E02005443,36900,30900,44100
E02005444,45900,38200,55200
E02005445,34900,29100,41900
E02005446,32000,26100,39400
E02005447,29000,24100,34900
E02005448,33500,27900,40300
E02005449,35500,29500,42900
E02005450,43200,36100,51500
E02005451,28800,23800,35000
E02005452,38500,32200,46000
E02005453,49200,41100,59000
E02005455,49300,41200,59000
E02005456,39800,33300,47600
E02005457,40100,33600,48000
E02005458,49300,41000,59400
E02005459,36000,30100,43100
E02005460,47700,39700,57200
E02005461,44600,37300,53500
E02005462,34600,28900,41300
E02005463,50500,42200,60400
E02005464,41800,34900,49900
E02006866,42000,35100,50100
E02006867,38700,32500,46200
E02005465,37000,31000,44300
E02005466,35600,29700,42600
E02005467,32200,26800,38600
E02005468,39800,33300,47500
E02005469,38600,32300,46100
E02005470,38500,32200,46000
E02005471,34300,28600,41000
E02005472,31100,25900,37300
E02005473,36900,30800,44200
E02005474,36300,30300,43400
E02005475,42600,35700,50800
E02005476,47200,39300,56600
E02005477,46500,38700,55800
E02005478,35500,29800,42400
E02005479,41800,35000,49900
E02005480,29600,24300,36100
E02005481,37300,31200,44600
E02005482,47000,39300,56100
E02005483,45100,37700,53900
E02005484,44400,37200,53100
E02005485,44400,37200,53000
E02005486,41300,34600,49300
E02005487,54000,44800,65200
E02005488,45500,38000,54400
E02005489,47300,39600,56600
E02005490,41800,35000,50000
E02005491,48700,40500,58500
E02005492,42600,35600,50900
E02005493,43400,36300,51800
E02005494,38100,31900,45500
E02005495,30700,25500,37000
E02005496,44200,37000,52900
E02005497,29200,24200,35200
E02005498,44600,37300,53300
E02005499,48200,40200,57800
E02005500,47300,39500,56600
E02005501,50600,42100,60800
E02005502,41400,34600,49500
E02005612,39100,32700,46800
E02005613,31100,25700,37600
E02005614,39300,32900,46900
E02005615,30900,25500,37500
E02005616,29700,24600,35900
E02005617,27700,22800,33700
E02006862,42100,35300,50400
E02006863,47000,39200,56300
E02005619,55100,45600,66500
E02005620,53900,44800,64800
E02005621,48800,40300,59100
E02005622,58000,47900,70200
E02005623,49800,41400,60000
E02005624,50400,41900,60500
E02005625,36500,30600,43600
E02005626,35700,29700,42800
E02005627,44900,37400,53900
E02005628,48000,40100,57400
E02005629,52400,43500,63000
E02005630,50500,41600,61300
E02005631,47000,39200,56300
E02005632,48500,40400,58300
E02005633,40800,34300,48700
E02005634,38900,32600,46500
E02005635,44900,37500,53700
E02005636,39600,33200,47300
E02005637,33600,28000,40300
E02005638,46500,38900,55600
E02005639,48800,40400,59000
E02005640,43000,36000,51300
E02005641,40500,33900,48300
E02005642,45100,37800,53900
E02005643,28900,23900,35000
E02005644,33200,27600,39900
E02005645,38100,31800,45700
E02005646,41700,35000,49800
E02005647,36100,30300,43100
E02005648,51400,42800,61700
E02005649,46100,38600,55100
E02005650,36100,29900,43600
E02005651,41000,34400,49000
E02005652,37300,31200,44600
E02005653,36400,30300,43800
E02005654,38800,32400,46600
E02005655,40700,34100,48600
E02005656,30800,25400,37200
E02005657,39600,33100,47400
E02005658,31400,26200,37700
E02005659,38100,31900,45500
E02005660,34300,28700,41000
E02005661,35100,29400,42000
E02005662,42400,35500,50700
E02005663,49100,40900,58800
E02005664,37100,31000,44500
E02005665,43200,36200,51600
E02005666,28500,23500,34500
E02005667,35000,29300,41900
E02005668,41700,35000,49800
E02005669,58100,48100,70200
E02005670,30700,25400,37200
E02005671,46100,38500,55300
E02005672,40400,33600,48500
E02005673,37700,31500,45100
E02005674,38300,31800,46000
E02005675,36600,30600,43800
E02005676,38500,32200,46100
E02005677,48700,40700,58400
E02005678,56200,46700,67600
E02005679,52800,44000,63400
E02005680,63300,52300,76600
E02005681,49500,41300,59400
E02005682,53600,44600,64500
E02005683,51400,42800,61700
E02005684,55800,46100,67500
E02005685,47900,40000,57400
E02005686,52400,43700,63000
E02005687,56300,46700,68000
E02005688,53400,44400,64200
E02005689,51100,42500,61400
E02005690,42000,35200,50300
E02005691,50100,41700,60200
E02005692,40600,34100,48500
E02005693,40100,33600,47800
E02005694,48100,40200,57600
E02005695,33600,28000,40300
E02005696,29600,24400,35800
E02005697,30500,25400,36600
E02005698,36000,30100,43100
E02005699,37800,31600,45200
E02005700,47000,39300,56200
E02005701,42700,35800,51000
E02005819,35100,29100,42400
E02005820,37200,31200,44500
E02005821,31800,26500,38200
E02005822,33200,27600,39900
E02005823,24000,19600,29300
E02005824,39100,32800,46700
E02005825,36000,30100,43200
E02005826,29900,24700,36200
E02005827,40300,33700,48100
E02005828,36300,30300,43300
E02005829,36500,30500,43600
E02005830,39000,32600,46700
E02005831,42900,35900,51300
E02005832,35500,29700,42400
E02005833,40000,33500,47800
E02005834,30700,25500,37000
E02005835,35600,29700,42600
E02005836,44700,37500,53400
E02005837,47200,39000,57100
E02005838,36300,30300,43400
E02005839,33700,28200,40300
E02005840,43000,35900,51400
E02005842,37600,31500,44900
E02005843,38500,32300,46000
E02005844,36000,30100,43000
E02005846,25500,21000,31000
E02005847,40900,34200,49000
E02005848,40200,33700,48000
E02005849,44100,36900,52700
E02006903,34100,28500,40700
E02005850,37700,31600,45100
E02005851,31200,26000,37500
E02005852,39600,33100,47300
E02005853,43600,36500,52100
E02005856,56900,46800,69200
E02005857,37600,31400,44900
E02005858,51500,42700,62100
E02005859,40500,33900,48300
E02005860,44500,36900,53700
E02005861,45900,38400,54900
E02005862,41400,34700,49500
E02005863,49600,41200,59800
E02005864,55000,45600,66300
E02006906,47100,39400,56300
E02005865,53400,44400,64300
E02005866,46200,38600,55300
E02005868,42400,35500,50600
E02005869,35500,29500,42700
E02005870,37300,31200,44700
E02005871,46900,39200,56100
E02005872,51100,42400,61500
E02005873,53900,44800,65000
E02005874,48400,40400,58000
E02005875,41400,34600,49500
E02005876,41500,34800,49500
E02005877,38600,32400,46000
E02005878,35700,29900,42600
E02005879,40400,33700,48300
E02006835,45100,37700,54000
E02005880,33700,28000,40600
E02005881,32200,26800,38700
E02005882,39600,33200,47300
E02005883,33000,27600,39600
E02005884,38100,31900,45500
E02005885,31600,26300,37900
E02005886,38300,32000,45800
E02005887,30100,25000,36200
E02005888,28800,23800,34800
E02005889,33800,28200,40600
E02005890,42400,35500,50600
E02005891,28800,23800,34900
E02005892,52600,43900,63100
E02005893,31800,26300,38400
E02005894,40300,33700,48100
E02005895,47800,39800,57400
E02005896,49200,40900,59100
E02005897,47500,39700,56900
E02005898,37400,31200,44900
E02005899,35600,29700,42600
E02005900,52300,43200,63300
E02005901,45000,37600,53800
E02005902,34800,29000,41800
E02005903,37100,31100,44300
E02005904,52900,44000,63600
E02005905,54800,44900,66700
E02005906,53700,44100,65300
E02005907,50600,42200,60700
E02005908,52700,43700,63600
E02005909,68100,55500,83500
E02005910,55700,45700,68000
E02005911,62800,51500,76700
E02005912,57000,46900,69200
E02005913,56400,46100,68900
E02005914,43800,36600,52300
E02005915,53600,44400,64600
E02005916,49300,41000,59300
E02005917,61000,50000,74500
E02005918,49400,41100,59300
E02005919,49400,41000,59500
E02005920,56800,46900,68700
E02002905,41600,34800,49700
E02002906,33900,28500,40500
E02002907,33100,27300,40000
E02002908,41800,34900,50000
E02002909,38700,32500,46200
E02002910,37000,31000,44200
E02002911,41600,34900,49600
E02002912,44500,37300,53100
E02002913,46100,38500,55200
E02002914,36800,30500,44400
E02002915,41000,34300,48800
E02002916,35500,29700,42400
E02002917,41300,34500,49400
E02002918,42700,35800,51000
E02002919,34500,28400,41800
E02002920,39800,33300,47700
E02002921,31100,25900,37200
E02002922,43400,36400,51800
E02002923,39200,32900,46800
E02002924,43800,36500,52500
E02002925,41900,35200,50000
E02002926,38400,32100,45900
E02002927,44300,37000,53000
E02006015,35800,30000,42600
E02006016,43400,36300,51700
E02006023,38400,32200,45900
E02006017,40300,33700,48000
E02006018,37200,31200,44300
E02006024,35900,30100,42700
E02006025,38100,32000,45500
E02006019,36300,30400,43200
E02006020,41600,34700,49900
E02006021,46100,38600,55000
E02006026,44600,37300,53200
E02006027,42000,35300,50100
E02006022,44100,36900,52700
E02006028,41200,34600,49100
E02006029,35200,29500,42000
E02006030,39000,32700,46600
E02006031,39500,33100,47200
E02006032,36500,30600,43500
E02006033,41800,34800,50100
E02006034,46100,38600,55000
E02006035,42200,35400,50400
E02006036,40600,34000,48500
E02006037,44400,37200,53000
E02006038,44800,37600,53400
E02006008,41700,34900,49800
E02006039,41700,35000,49800
E02006009,41400,34600,49600
E02006040,44200,37000,52800
E02006010,40800,34200,48700
E02006041,39300,33000,46900
E02006011,39800,33400,47500
E02006042,42500,35600,50800
E02006012,39200,32900,46800
E02006013,43000,36000,51400
E02006014,38500,32200,46000
E02006043,40900,34300,48800
E02006044,41000,34300,48900
E02006045,35600,29800,42400
E02006046,40600,34000,48500
E02002951,36400,30500,43400
E02002952,34700,29100,41500
E02002953,31800,26600,37900
E02002954,32100,26900,38300
E02002955,31200,26100,37300
E02002956,34700,29100,41500
E02002957,40800,34300,48700
E02002958,34800,29100,41600
E02002959,30100,25200,35900
E02002960,38600,32400,46000
E02002961,31300,26100,37500
E02002962,28400,23800,33900
E02002963,30700,25700,36800
E02002964,32300,27100,38600
E02002965,30500,25400,36600
E02002966,29100,24200,35000
E02002967,27400,22900,32900
E02002968,40400,33800,48200
E02002969,33700,28200,40400
E02002970,31100,26000,37200
E02002971,34900,29200,41800
E02002972,29400,24600,35200
E02002973,36100,30200,43100
E02002974,36100,30200,43000
E02002975,40000,33400,47800
E02002976,37700,31600,45000
E02002977,28900,24200,34500
E02002978,30100,25200,36000
E02002979,31600,26400,37900
E02002980,41300,34600,49300
E02002981,36500,30600,43600
E02002982,31600,26500,37800
E02002983,44400,37200,53000
E02002984,47900,40100,57200
E02002928,44200,37100,52800
E02002929,43800,36400,52700
E02002930,39100,32800,46700
E02002931,48300,40500,57700
E02002932,36200,30300,43200
E02002933,42300,35500,50400
E02002934,44400,37100,53000
E02002935,37000,31000,44100
E02002936,38800,32400,46400
E02002937,45600,38200,54400
E02002938,36800,30900,43900
E02002939,39800,33400,47500
E02002940,37600,31400,45000
E02002941,37100,31000,44300
E02002942,57700,48000,69500
E02002943,47000,39300,56200
E02002944,33700,28000,40500
E02002945,39100,32700,46800
E02002946,39700,33100,47600
E02002947,38200,31900,45800
E02002948,35100,29200,42300
E02002949,34900,29100,41800
E02002950,33900,28400,40500
E02006118,43100,36100,51500
E02006119,33600,28100,40200
E02006120,36400,30400,43400
E02006121,36200,30300,43300
E02006122,38300,32100,45800
E02006123,41800,35000,50000
E02006124,32300,27000,38600
E02006125,34100,28500,40700
E02006126,39200,32800,46800
E02006127,49900,41500,60000
E02006128,38200,32000,45700
E02006129,31700,26500,37900
E02006130,38100,31900,45500
E02006131,44000,36900,52500
E02006132,38500,32200,46000
E02006133,41800,35100,49800
E02006134,46400,38900,55300
E02006135,45200,37900,53900
E02006136,46700,39000,56000
E02006137,37900,31700,45200
E02006138,36600,30700,43800
E02006139,34200,28600,40900
E02006140,41200,34600,49100
E02006141,36200,30300,43300
E02006142,49700,41600,59300
E02006143,44300,37100,52900
E02006144,33500,28000,40000
E02006145,47400,39800,56600
E02006146,43900,36800,52300
E02006147,49400,41400,59000
E02006148,53300,44400,64000
E02006149,39600,33200,47300
E02006150,50800,42600,60600
E02006151,37400,31400,44600
E02006152,48900,41000,58400
E02006153,50100,41900,59900
E02006154,40300,33800,48100
E02006155,35800,30000,42700
E02006156,50100,41900,60000
E02006157,39400,32900,47200
E02006158,43300,36200,51800
E02006159,33900,28500,40500
E02006160,34100,28500,40700
E02006161,44300,37100,52900
E02006162,39900,33400,47600
E02006163,36000,30200,43000
E02006164,31200,26200,37300
E02006165,37900,31700,45300
E02006166,43100,36100,51400
