msoa11cd,moss_lead_mean_idw_1990,moss_sample_dist_mean_1990,moss_lead_mean_idw_1995,moss_sample_dist_mean_1995,moss_lead_mean_idw_2000,moss_sample_dist_mean_2000,moss_lead_mean_idw_2005,moss_sample_dist_mean_2005,moss_lead_mean_idw_1990_pl_hy,moss_sample_dist_mean_1990_pl_hy,moss_lead_mean_idw_2000_pl_hy,moss_sample_dist_mean_2000_pl_hy,moss_lead_mean_idw_2005_pl_hy,moss_sample_dist_mean_2005_pl_hy
E02004197,7.975718893417947,69239.24935773463,11.011671622012619,110217.42247817833,4.63122308173142,66257.97466540402,3.654842502712213,66187.35411428454,8.121276920386396,170995.47097997874,4.3121574362424315,88808.31903282535,3.6273514172948125,137051.82846234925
E02004198,8.60783808004022,63024.7307952397,11.68775676468957,111288.80455415054,4.581706992469746,73331.6831121408,3.811019002460686,73245.80794296223,8.25644359679865,164835.39881027272,4.13871682305764,92078.77140041573,3.678407009651867,139015.43165766133
E02004199,8.705554047502453,61391.343093408606,11.774757732725568,111500.33303947414,5.005074844047614,75575.57414355791,4.1358302129089175,75496.66236671628,8.258132368326281,163264.2797020396,4.097537756830703,93602.98333617093,3.685094314020254,140115.22979646843
E02004200,8.51207820314747,65993.73021187092,11.725832075903249,114237.62540000486,4.581140070350477,75565.27929306148,3.796006792503948,75477.95545568118,8.207543860576482,169389.46809727512,4.139239153378187,94518.96925002216,3.6717154767697298,142925.74142708594
E02004201,8.951171937575783,53364.315932935235,12.32022830398468,89001.67685129294,5.03780662241525,46733.16523657875,4.365264723231904,46738.29213502668,8.09369683606349,130733.37001851783,4.026249007517134,75825.94013828402,3.664658956526406,104414.60897537105
E02004202,8.701393922973825,50964.09964999475,12.333406192476062,89913.27903567409,5.112462639183473,50751.32373680109,4.516345297304011,50735.94830502076,8.135988302371965,130540.51763779535,3.961702654211675,78864.10375799015,3.697528567471192,108495.03362264296
E02004203,8.861789192666427,54725.620037889596,11.726030805696311,91800.87101767375,4.913912024867997,48548.24428019301,4.110508847526944,48557.60909221743,8.15127211617647,137536.47318565613,4.155258790525417,75135.38703671751,3.6459672005205053,107676.07188325512
E02004204,8.76793942063142,51833.257261270606,11.847374992602342,92764.23893734426,4.991943754782407,52460.29179948542,4.255454430125302,52452.09142648375,8.24659935221211,137217.56115972216,4.078114311720613,78098.48540356399,3.687043656277046,111804.17024939289
E02004205,8.5035020923024085,49665.13992435891,12.147595658534996,93268.82414035153,5.1023351537114525,56434.29335192099,4.439533611750352,56407.51381245957,8.250293542846547,135260.47177649618,3.980939565978401,81648.27551244723,3.702607156870135,114940.68757861826
E02004206,8.534091357478424,49720.799424377925,12.111708839146175,93704.39596879257,5.09452645713535,56883.20926261452,4.417709867076314,56856.706146801705,8.271730089265914,136009.29155196506,3.98959623418019,81773.76742447107,3.702075798291944,115562.67485673814
