msoa11cd,soil_lead_mean,soil_lead_mean_idw,n_soil_grid_cells
E02000156,73.27968874844638,72.91041514750168,11
E02000157,68.22092764718192,68.25296398404531,7
E02000158,66.74635028839111,66.65320746844002,8
E02000159,65.64322052001953,67.61577665378198,15
E02000160,67.04113500258502,67.88405023396032,17
E02000161,67.07542855398995,67.12775853104205,7
E02000162,67.91862138112386,66.9058506454631,24
E02000163,67.9902398482613,67.15717044668878,23
E02000165,42.256492614746094,43.39861884710437,14
E02000166,157.25237274169922,149.84854915969652,8
E02000167,169.80742536272322,171.54909159720026,7
E02000168,145.23633321126303,145.72306298466714,6
E02000169,178.8457489013672,179.27381988931342,4
E02000170,169.07619934082032,170.6775695752539,5
E02000171,157.56900024414062,160.19119232723833,3
E02000172,149.71919860839844,150.28613665057858,5
E02000173,169.33866373697916,170.41406848687467,3
E02000174,144.67366536458334,143.7617127405924,3
E02000175,170.9800008138021,172.07817041544448,6
E02000176,166.5369987487793,165.16747989625495,4
E02000177,155.49399948120117,153.7501367862719,4
E02000178,167.922802734375,166.94267130928688,5
E02000179,162.98500061035156,159.53208337659655,2
E02000180,140.68800354003906,141.9497384587211,2
E02000181,163.86425018310547,165.6410491320158,4
E02000182,160.2770004272461,162.4229581184459,4
E02000183,152.39925003051758,151.67527506022034,4
E02000184,145.96324920654297,145.37594562683057,4
E02000185,163.86425018310547,162.53436609777043,4
E02000186,146.24466705322266,146.19298079992188,6
E02000187,142.5405019124349,143.35956646499807,6
E02000188,146.35025024414062,146.37242726789464,4
E02000189,142.56400044759116,142.8214402304546,3
E02000190,143.92400360107422,143.6037152264032,2
E02000191,146.14640197753906,146.11561418563366,5
E02000192,144.97875213623047,144.96104526365872,4
E02000193,147.78228759765625,147.28072367508474,7
E02000194,243.25971330915178,248.12288550061308,7
E02000195,416.851571219308,414.8314050285156,7
E02000196,406.6558329264323,400.12218209920553,6
E02000197,377.7238311767578,386.5541621911694,6
E02000198,264.34059753417966,266.4120083558815,5
E02000199,209.37224578857422,210.12784038495846,4
E02000200,151.097998046875,154.54312010942948,5
E02000201,134.25725555419922,129.4403826099446,7
E02000202,265.88800048828125,251.136441092775,4
E02000203,172.8556671142578,180.04327138898734,6
E02000204,210.35700225830078,205.72111980435125,4
E02000206,140.92266591389975,141.83541740336068,6
E02000207,112.99535587855748,109.8100191123128,7
E02000208,136.36250114440918,140.1977833776948,4
E02000209,150.2260009765625,150.11441300688904,5
E02000210,108.1572494506836,107.79831995230344,4
E02000211,84.9343490600586,85.66287396102935,6
E02000212,124.96099853515625,125.20010970537062,5
E02000213,116.01395874023437,115.70368415987564,5
E02000214,86.77482604980469,90.84346367353665,4
E02000215,97.59505081176758,99.09834565574272,6
E02000216,86.99755096435547,88.96492303240889,6
E02000217,102.52535574776786,101.14736933431914,7
E02000218,75.53261439005534,74.49662539900747,6
E02000219,77.09266134408804,77.7100351469597,13
E02000220,91.29144287109375,89.55146713879604,7
E02000221,86.65530929565429,86.94567364145936,10
E02000222,79.63560158865792,80.14506910655118,7
E02000223,65.9902172088623,65.88319572821544,6
E02000224,75.69673411051433,75.82183966384378,6
E02000225,61.64690065383911,60.873548614434206,8
E02000226,78.70203746448864,78.16900394107954,11
E02000227,70.43769220205454,73.2766290135506,13
E02000228,75.27471022172408,75.03558264005042,11
E02000229,49.58761978149414,51.040544888040564,5
E02000230,73.38343217637804,73.22359879807644,9
E02000231,73.39319896697998,73.29516560517652,8
E02000232,78.26133082463191,78.69118514632626,13
E02000233,69.205627986363,69.9013689195925,7
E02000234,69.03389844027433,69.77305968211314,11
