msoa11cd,lad20cd,imd_overall_score_2015,imd_income_score_2015,imd_employment_score_2015,imd_health_disability_score_2015,imd_housing_services_score_2015,total_ppl_est_2015
E02000046,E09000003,12.421965949332606,0.08173140833560338,0.05263715608825933,-1.373644511032416,26.932535548896755,7342
E02000047,E09000003,26.343321425604387,0.17599376921159757,0.09652214006812329,-0.509403256625405,40.37842643515826,12037
E02000048,E09000003,12.822080798200139,0.08558368385014184,0.055780103687762886,-1.647541915289054,33.01201310769833,10223
E02000049,E09000003,35.91760942500828,0.2650077254166207,0.16065610859728505,-0.17511632270168856,46.337586579847695,9061
E02000050,E09000003,18.30702076350093,0.13191890130353817,0.08153268156424581,-0.9481606145251398,32.18164227188082,10740
E02000051,E09000003,10.394447587719299,0.07788157894736841,0.05297214912280702,-1.578148245614035,27.044015789473683,9120
E02000052,E09000003,11.881966251198465,0.09390095877277085,0.05383240651965484,-1.221533844678811,25.455764046021095,10430
E02000053,E09000003,20.760394206745787,0.1335766708307308,0.06919964084946909,-1.1169831355402873,38.90304473766396,12808
E02000054,E09000003,16.54641009125067,0.10473268921095008,0.06071014492753623,-1.3291794149221685,42.59659514224369,7452
E02000055,E09000003,15.525799810164813,0.09436560531538528,0.0641971697299163,-1.0821367676244715,31.409114764000346,11589
E02000056,E09000003,8.09332322357019,0.04226364818024264,0.026806542461005202,-1.9990526429809359,27.972701798093585,9232
E02000057,E09000003,14.00602963341423,0.08314765615021075,0.06289832673393791,-1.2665669945076,31.321506067186103,7829
E02000058,E09000003,10.384583465079514,0.07167441644192318,0.05602371431228494,-1.3805789082116617,25.744710313400912,10753
E02000059,E09000003,22.050963226259434,0.13420010531858872,0.08204563805511672,-0.7469855186940495,41.233589871862385,11394
E02000060,E09000003,15.245502361673415,0.09634522604588394,0.07396811740890688,-0.828022604588394,30.068086960188936,11856
E02000061,E09000003,13.939017152255639,0.07379311560150376,0.056583646616541354,-1.506608082706767,31.29851221804511,8512
E02000062,E09000003,32.412267776777675,0.19121542154215423,0.11593054305430543,-0.43099324932493244,42.28235658565857,6666
E02000063,E09000003,22.01048084934821,0.15081964789678806,0.10381212202660933,-0.6155176723558662,33.051771804864934,7441
E02000064,E09000003,22.209279016841148,0.16773554847519345,0.10394340767713549,-0.560332423001062,30.704343043544227,6591
E02000065,E09000004,20.69324370335821,0.1598809468283582,0.0873691697761194,-0.4306033115671642,40.405655783582084,8576
E02000066,E09000004,28.275488745351343,0.20765922881190058,0.12368575063613231,-0.18590272068898023,37.985670679193575,10218
E02000067,E09000004,25.826375825292025,0.16773875063484003,0.10419847638395124,-0.2989102082275266,34.0422406297613,9845
E02000068,E09000004,28.265863918833226,0.19637755231452123,0.11726227013316425,0.010723779327837673,33.385739378566896,7885
E02000069,E09000004,19.411223468910705,0.12783481377590775,0.08412856474988313,-0.46154277699859747,26.98107745052205,6417
