state,zip,year,tested,BLL_geq_10
MI,48030,2015,,
MI,48030,2005,,
MI,48030,2006,,
MI,48030,2007,,
MI,48030,2008,,
MI,48030,2009,,
MI,48030,2010,,
MI,48030,2011,,
MI,48030,2012,,
MI,48030,2013,,
MI,48030,2014,,
MI,48030,2015,,
MI,48030,2005,,
MI,48030,2006,,
MI,48030,2007,,
MI,48030,2008,,
MI,48030,2009,,
MI,48030,2010,,
MI,48030,2011,,
MI,48030,2012,,
MI,48030,2013,,
MI,48030,2014,,
MI,48030,2015,,
MI,48031,2005,,
MI,48031,2006,,
MI,48031,2007,,
MI,48031,2008,,
MI,48031,2009,,
MI,48031,2010,,
MI,48031,2011,,
MI,48031,2012,,
MI,48031,2013,,
MI,48031,2014,,
MI,48031,2015,,
MI,48032,2005,,
MI,48032,2006,,
MI,48032,2007,,
MI,48032,2008,,
MI,48032,2009,,
MI,48032,2010,,
MI,48032,2011,,
MI,48032,2012,,
MI,48032,2013,,
MI,48032,2014,,
MI,48032,2015,,
MI,48032,2005,,
MI,48032,2006,,
MI,48032,2007,,
MI,48032,2008,,
MI,48032,2009,,
MI,48032,2010,,
MI,48032,2011,,
MI,48032,2012,,
MI,48032,2013,,
MI,48032,2014,,
MI,48032,2015,,
MI,48032,2005,,
MI,48032,2006,,
MI,48032,2007,,
MI,48032,2008,,
MI,48032,2009,,
MI,48032,2010,,
MI,48032,2011,,
MI,48032,2012,,
MI,48032,2013,,
MI,48032,2014,,
MI,48032,2015,,
MI,48032,2005,,
MI,48032,2006,,
MI,48032,2007,,
MI,48032,2008,,
MI,48032,2009,,
MI,48032,2010,,
MI,48032,2011,,
MI,48032,2012,,
MI,48032,2013,,
MI,48032,2014,,
MI,48032,2015,,
MI,48033,2005,,
MI,48033,2006,,
MI,48033,2007,,
MI,48033,2008,,
MI,48033,2009,,
MI,48033,2010,,
MI,48033,2011,,
MI,48033,2012,,
MI,48033,2013,,
MI,48033,2014,,
MI,48033,2015,,
MI,48033,2005,,
MI,48033,2006,,
MI,48033,2007,,
MI,48033,2008,,
MI,48033,2009,,
MI,48033,2010,,
MI,48033,2011,,
MI,48033,2012,,
MI,48033,2013,,
MI,48033,2014,,
MI,48033,2015,,
MI,48034,2005,,
MI,48034,2006,,
MI,48034,2007,,
MI,48034,2008,,
MI,48034,2009,,
MI,48034,2010,,
MI,48034,2011,,
MI,48034,2012,,
MI,48034,2013,,
MI,48034,2014,,
MI,48034,2015,,
MI,48034,2005,,
MI,48034,2006,,
MI,48034,2007,,
MI,48034,2008,,
MI,48034,2009,,
MI,48034,2010,,
MI,48034,2011,,
MI,48034,2012,,
MI,48034,2013,,
MI,48034,2014,,
MI,48034,2015,,
MI,48034,2005,,
MI,48034,2006,,
MI,48034,2007,,
MI,48034,2008,,
MI,48034,2009,,
MI,48034,2010,,
MI,48034,2011,,
MI,48034,2012,,
MI,48034,2013,,
MI,48034,2014,,
MI,48034,2015,,
MI,48034,2005,,
MI,48034,2006,,
MI,48034,2007,,
MI,48034,2008,,
MI,48034,2009,,
MI,48034,2010,,
MI,48034,2011,,
MI,48034,2012,,
MI,48034,2013,,
MI,48034,2014,,
MI,48034,2015,,
MI,48035,2005,,
MI,48035,2006,,
MI,48035,2007,,
MI,48035,2008,,
MI,48035,2009,,
MI,48035,2010,,
MI,48035,2011,,
MI,48035,2012,,
MI,48035,2013,,
MI,48035,2014,,
MI,48035,2015,,
MI,48035,2005,,
MI,48035,2006,,
MI,48035,2007,,
MI,48035,2008,,
MI,48035,2009,,
MI,48035,2010,,
MI,48035,2011,,
MI,48035,2012,,
MI,48035,2013,,
MI,48035,2014,,
MI,48035,2015,,
MI,48035,2005,,
MI,48035,2006,,
MI,48035,2007,,
MI,48035,2008,,
MI,48035,2009,,
MI,48035,2010,,
MI,48035,2011,,
MI,48035,2012,,
MI,48035,2013,,
MI,48035,2014,,
MI,48035,2015,,
MI,48035,2005,,
MI,48035,2006,,
MI,48035,2007,,
MI,48035,2008,,
MI,48035,2009,,
MI,48035,2010,,
MI,48035,2011,,
MI,48035,2012,,
MI,48035,2013,,
MI,48035,2014,,
MI,48035,2015,,
MI,48036,2005,,
MI,48036,2006,,
MI,48036,2007,,
MI,48036,2008,,
MI,48036,2009,,
MI,48036,2010,,
MI,48036,2011,,
MI,48036,2012,,
MI,48036,2013,,
MI,48036,2014,,
MI,48036,2015,,
MI,48036,2005,,
MI,48036,2006,,
MI,48036,2007,,
MI,48036,2008,,
MI,48036,2009,,
MI,48036,2010,,
MI,48036,2011,,
MI,48036,2012,,
MI,48036,2013,,
MI,48036,2014,,
MI,48036,2015,,
MI,48036,2005,,
MI,48036,2006,,
MI,48036,2007,,
MI,48036,2008,,
MI,48036,2009,,
MI,48036,2010,,
MI,48036,2011,,
MI,48036,2012,,
MI,48036,2013,,
MI,48036,2014,,
MI,48036,2015,,
MI,48036,2005,,
MI,48036,2006,,
MI,48036,2007,,
MI,48036,2008,,
MI,48036,2009,,
MI,48036,2010,,
MI,48036,2011,,
MI,48036,2012,,
MI,48036,2013,,
MI,48036,2014,,
MI,48036,2015,,
MI,48037,2005,,
MI,48037,2006,,
MI,48037,2007,,
MI,48037,2008,,
MI,48037,2009,,
MI,48037,2010,,
MI,48037,2011,,
MI,48037,2012,,
MI,48037,2013,,
MI,48037,2014,,
MI,48037,2015,,
MI,48038,2005,,
MI,48038,2006,,
MI,48038,2007,,
MI,48038,2008,,
MI,48038,2009,,
MI,48038,2010,,
MI,48038,2011,,
MI,48038,2012,,
MI,48038,2013,,
MI,48038,2014,,
MI,48038,2015,,
MI,48038,2005,,
MI,48038,2006,,
MI,48038,2007,,
MI,48038,2008,,
MI,48038,2009,,
MI,48038,2010,,
MI,48038,2011,,
MI,48038,2012,,
MI,48038,2013,,
MI,48038,2014,,
MI,48038,2015,,
MI,48038,2005,,
MI,48038,2006,,
MI,48038,2007,,
MI,48038,2008,,
MI,48038,2009,,
MI,48038,2010,,
MI,48038,2011,,
MI,48038,2012,,
MI,48038,2013,,
MI,48038,2014,,
MI,48038,2015,,
MI,48039,2005,,
MI,48039,2006,,
MI,48039,2007,,
MI,48039,2008,,
MI,48039,2009,,
MI,48039,2010,,
MI,48039,2011,,
MI,48039,2012,,
MI,48039,2013,,
MI,48039,2014,,
MI,48039,2015,,
MI,48039,2005,,
MI,48039,2006,,
MI,48039,2007,,
MI,48039,2008,,
MI,48039,2009,,
MI,48039,2010,,
MI,48039,2011,,
MI,48039,2012,,
MI,48039,2013,,
MI,48039,2014,,
MI,48039,2015,,
MI,48039,2005,,
MI,48039,2006,,
MI,48039,2007,,
MI,48039,2008,,
MI,48039,2009,,
MI,48039,2010,,
MI,48039,2011,,
MI,48039,2012,,
MI,48039,2013,,
