tract,year,tested,BLL_geq_5
18021040500,2006,9,0
18021040500,2007,22,2
18021040500,2008,29,0
18021040500,2009,24,2
18021040500,2010,21,1
18021040500,2011,20,0
18021040500,2012,18,0
18021040500,2013,20,0
18021040500,2014,7,0
18021040500,2015,11,0
18057110700,2005,25,5
18057110700,2006,21,2
18057110700,2007,22,0
18057110700,2008,23,0
18057110700,2009,29,3
18057110700,2010,11,0
18057110700,2011,5,0
18057110700,2012,13,0
18057110700,2013,7,1
18057110700,2014,18,1
18057110700,2015,11,0
18063210607,2005,7,0
18063210607,2006,24,0
18063210607,2007,28,1
18063210607,2008,13,0
18063210607,2009,21,1
18063210607,2010,12,0
18063210607,2011,21,0
18063210607,2012,20,2
18063210607,2013,12,0
18063210607,2014,11,0
18063210607,2015,16,1
18003011202,2005,13,1
18003011202,2006,23,0
18003011202,2007,31,1
18003011202,2008,28,0
18003011202,2009,17,0
18003011202,2010,19,0
18003011202,2011,19,1
18003011202,2012,9,0
18003011202,2013,12,0
18003011202,2014,4,0
18003011202,2015,11,0
18007100100,2005,11,3
18007100100,2006,12,3
18007100100,2007,19,0
18007100100,2008,22,1
18007100100,2009,20,2
18007100100,2010,19,2
18007100100,2011,17,2
18007100100,2012,19,0
18007100100,2013,17,0
18007100100,2014,10,1
18007100100,2015,20,1
18069962000,2005,6,0
18069962000,2006,9,0
18069962000,2007,12,1
18069962000,2008,19,0
18069962000,2009,20,1
18069962000,2010,32,2
18069962000,2011,21,2
18069962000,2012,10,1
18069962000,2013,14,2
18069962000,2014,14,0
18069962000,2015,29,0
18127050203,2005,18,0
18127050203,2006,10,1
18127050203,2007,20,3
18127050203,2008,28,2
18127050203,2009,16,2
18127050203,2010,21,1
18127050203,2011,27,0
18127050203,2012,17,2
18127050203,2013,19,0
18127050203,2014,3,0
18127050203,2015,7,0
18031969100,2005,9,0
18031969100,2006,17,1
18031969100,2007,21,1
18031969100,2008,21,1
18031969100,2009,20,0
18031969100,2010,15,1
18031969100,2011,20,2
18031969100,2012,20,0
18031969100,2013,15,1
18031969100,2014,10,0
18031969100,2015,19,2
18057110811,2005,8,0
18057110811,2006,6,0
18057110811,2007,21,0
18057110811,2008,15,0
18057110811,2009,15,1
18057110811,2010,12,0
18057110811,2011,19,1
18057110811,2012,32,1
18057110811,2013,16,0
18057110811,2014,20,0
18057110811,2015,23,0
18173030500,2005,14,1
18173030500,2006,10,0
18173030500,2007,25,1
18173030500,2008,28,2
18173030500,2009,19,0
18173030500,2010,19,0
18173030500,2011,18,0
18173030500,2012,20,1
18173030500,2013,14,0
18173030500,2014,3,0
18173030500,2015,17,1
18017951900,2005,17,0
18017951900,2006,20,0
18017951900,2007,19,0
18017951900,2008,30,3
18017951900,2009,20,0
18017951900,2010,16,0
18017951900,2011,25,2
18017951900,2012,15,0
18017951900,2013,14,0
18017951900,2014,3,2
18017951900,2015,9,0
18057110509,2005,11,0
18057110509,2006,14,0
18057110509,2007,27,0
18057110509,2008,21,0
18057110509,2009,22,1
18057110509,2010,13,0
18057110509,2011,9,0
18057110509,2012,12,0
18057110509,2013,16,0
18057110509,2014,14,0
18057110509,2015,29,0
18081610801,2005,6,0
18081610801,2006,8,0
18081610801,2007,34,0
18081610801,2008,19,1
18081610801,2009,19,0
18081610801,2010,16,1
18081610801,2011,20,0
18081610801,2012,18,1
18081610801,2013,17,0
18081610801,2014,10,0
18081610801,2015,21,1
18091040400,2005,4,1
18091040400,2006,7,2
18091040400,2007,26,3
18091040400,2008,17,1
18091040400,2009,22,1
18091040400,2010,36,0
18091040400,2011,21,0
18091040400,2012,23,1
18091040400,2013,16,0
18091040400,2014,5,0
18091040400,2015,11,1
18095010300,2005,27,0
18095010300,2006,19,0
18095010300,2007,28,5
18095010300,2008,20,0
18095010300,2009,18,1
18095010300,2010,28,1
18095010300,2011,7,2
18095010300,2012,12,0
18095010300,2013,8,0
18095010300,2014,3,1
18095010300,2015,18,2
18097390200,2005,3,0
18097390200,2006,8,1
18097390200,2007,25,3
18097390200,2008,19,1
18097390200,2009,9,1
18097390200,2010,16,1
18097390200,2011,13,0
18097390200,2012,16,1
18097390200,2013,23,0
18097390200,2014,24,0
18097390200,2015,32,0
18157010800,2005,11,0
18157010800,2006,6,0
18157010800,2007,25,1
18157010800,2008,27,1
18157010800,2009,22,0
18157010800,2010,13,1
18157010800,2011,18,1
18157010800,2012,21,0
18157010800,2013,18,0
18157010800,2014,11,0
18157010800,2015,16,0
18003010601,2005,10,0
18003010601,2006,8,0
18003010601,2007,25,1
18003010601,2008,23,0
18003010601,2009,28,1
18003010601,2010,14,2
18003010601,2011,20,0
18003010601,2012,11,2
18003010601,2013,16,0
18003010601,2014,12,0
18003010601,2015,22,1
18015959800,2005,7,1
18015959800,2006,8,0
18015959800,2007,12,1
18015959800,2008,23,3
18015959800,2009,27,0
18015959800,2010,25,2
18015959800,2011,14,1
18015959800,2012,20,3
18015959800,2013,21,1
18015959800,2014,5,0
18015959800,2015,27,0
18057110903,2005,7,0
18057110903,2006,6,1
18057110903,2007,35,1
18057110903,2008,18,0
18057110903,2009,21,1
18057110903,2010,23,0
18057110903,2011,17,0
18057110903,2012,19,0
18057110903,2013,17,0
18057110903,2014,9,1
18057110903,2015,17,0
18097360700,2005,20,2
18097360700,2006,18,2
18097360700,2007,27,2
18097360700,2008,23,4
18097360700,2009,15,2
18097360700,2010,12,0
18097360700,2011,13,0
18097360700,2012,13,1
18097360700,2013,20,0
18097360700,2014,12,0
18097360700,2015,16,2
18167001300,2005,10,0
18167001300,2006,7,0
18167001300,2007,19,3
18167001300,2008,29,1
18167001300,2009,26,4
18167001300,2010,33,0
18167001300,2011,26,1
18167001300,2012,17,1
18167001300,2013,8,1
18167001300,2014,3,1
18167001300,2015,12,1
18029080500,2005,9,0
18029080500,2006,7,2
18029080500,2007,15,1
18029080500,2008,28,1
18029080500,2009,23,2
18029080500,2010,24,3
18029080500,2011,29,2
18029080500,2012,16,0
18029080500,2013,21,0
